,title,publisher,date,isbn,Authors,category
312,Klimt: Beethoven. [Illustr.] - (Geneve): Skira (1986). 108 S. 4°. ,,1986,UCSD:31822002761880,Jean Paul Bouillon,Klimt
7,"Klimt, ""Beethoven"". ","Genève : Skira ; [Paris] : Flammarion , 1986",1986,2605000788,,Klimt
100,Klimt. ,"Paris : Flammarion , 1987",1987,208011526X,,Klimt
171,Williem de Kooning Standing Figure. A Bicentennial Gift to the Nation from National Australia Bank,,1987,0909873496,,De Kooning
44,"Gustav Klimt, Egon Schiele und die Familie Lederer. ","Bern : Galerie Kornfeld , 1987",1987,3857730161,,Klimt
185,Gustav Klimt. ,Crown,1987,UOM:39015042495013,Ilona Sármány-Parsons,Klimt
129,"Willem de Kooning. Abstract Landscapes, 1955-1963",,1987,OCLC:23006550,"Willem De Kooning, Henry Geldzahler",De Kooning
275,Klimt. Beethoven,Rizzoli International Publications,1987,UOM:39015011963496,Jean Paul Bouillon,Klimt
69,Gustav Klimt : das Skizzenbuch aus dem Besitz von Sonja Knips. ,"Wien : Ed. Tusch , 1987",1987,3850631761,,Klimt
139,The Collected Writings of Willem de Kooning. ,,1988,0937815136,Willem De Kooning,De Kooning
6,Le Nu et la norme : Klimt et Picasso en 1907. ,"[Paris] : Gallimard , 1988",1988,2070111504,,Klimt
147,Klimt. Disegni contro la morale. ,,1988,8872260337,Gustav Klimt,Klimt
168,Gustav Klimt i capolavori. ,,1988,8834240189,"Gustav Klimt, Gabriella Belli",Klimt
304,Klimt. Beethoven. [aus Dem Franzoesischen Uebertragen Von Hanna Wulf].,,1988,OCLC:902373530,Jean-Paul Bouillon,Klimt
320,Klimt. ,Giunti Editore,1988,8809760832,Eva Di Stefano,Klimt
11,"De Kooning, vite. ","Paris : Ed. de la Différence , 1988",1988,2729102701,,De Kooning
178,Gustav Klimt. il sigillo della contraddizione,,1989,8877430621,Cristina Melloni,Klimt
206,Klimt. ,,1989,8837410441,"Gustav Klimt, Fernando Huici",Klimt
101,Gustav Klimt : 25 chefs-d'oeuvre. ,"Paris : Nathan , cop. 1989",1989,2092400460,,Klimt
165,A few remarkable paintings by Picasso and de Kooning. ,,1990,OCLC:47715266,Pablo Picasso,De Kooning
75,Willem de Kooning : an Exhibition of Paintings. ,,1990,OCLC:1334620202,Willem De Kooning,De Kooning
124,"Willem De Kooning, Jean Dubuffet. The Women : November 30, 1990-January 5, 1991",Australian Geographic,1990,UOM:39015021859486,"Willem De Kooning, Jean Dubuffet, Mildred Glimcher, Pace Gallery",De Kooning
65,Willem de Kooning. An Exhibition of Paintings,,1990,STANFORD:36105001689053,"Willem De Kooning, Klaus Kertess, Robert Rosenblum",De Kooning
81,Klimt. ,"[Paris] : Chêne , 1990",1990,2851086561,,Klimt
167,"Willem De Kooning, Jean Dubuffet. The Women. ",,1990,OCLC:1419315490,Mildred Glimcher,De Kooning
20,L'oeuvre gravé de Willem De Kooning 1 : catalogue raisonné. ,"Paris : B. Lebon , 1991",1991,2876880148,,De Kooning
149,Druckgraphische Werk Von Willem de Kooning. ,,1991,UOM:39015032446455,"F. Lanier Graham, Willem De Kooning",De Kooning
161,Willem De Kooning. The Printer's Proofs,Salander Oreilly Pub,1991,1588210332,,De Kooning
159,"Willem de Kooning. Printer's Proofs from the Collection of Irwin Hollander, Master Printer",,1991,STANFORD:36105028780083,"Willem De Kooning, F. Lanier Graham",De Kooning
59,Gustav Klimt. ,"Londres ; Paris : Thames & Hudson , 1991",1991,287811034X,,Klimt
313,"Gustav Klimt. 100 Zeichnungen : 25. Juli bis 27. September 1992, Städtische Galerie ""Lovis-Kabinett"", Stadtbezirk Schwenningen",,1992,UOM:39015032985692,"Serge Sabarsky, Gustav Klimt",Klimt
105,"Gustav Klimt : von der Zeichnung zum Bild, mit 370 Abbildungen. ","Wien : C. Brandstätter , cop. 1992",1992,3854473699,,Klimt
250,Gustav Klimt & Emilie Flöge. An Artist and His Muse,,1992,UCSC:32106016748433,Wolfgang Georg Fischer,Klimt
87,Gustav Klimt. ,"Köln : Taschen , cop. 1992",1992,3822893374,,Klimt
28,Klimt. ,"[Paris] : Hazan , 1992",1992,2850252921,,Klimt
114,"Willem De Kooning, Jean Dubuffet, the Late Works. September 17 - October 16, 1993",Australian Geographic,1993,STANFORD:36105009567517,"Willem De Kooning, Peter Schjeldahl, Pace Gallery",De Kooning
207,"Gustav Klimt, 1862-1918. ",,1993,OCLC:1285563895,Gilles Néret,Klimt
126,Willem de Kooning. Transcending Landscape : Paintings 1975-1979,,1993,STANFORD:36105012423104,Willem De Kooning,De Kooning
141,Willem De Kooning. Jean Dubuffet. The Late Works. ,,1993,OCLC:1419335561,,De Kooning
278,Gustav Klimt. ,,1993,STANFORD:36105004438482,Frank Whitford,Klimt
105,Willem de Kooning. From the Hirshhorn Museum Collection,Rizzoli International Publications,1993,UOM:39015026855877,"Judith Zilczer, Hirshhorn Museum and Sculpture Garden",De Kooning
257,Klimt. ,,1993,OCLC:797511552,"Gustav Klimt, Adriano Antolini",Klimt
2,"Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 1993",1993,0714816000,,Klimt
78,Klimt. ,"[Paris] : Flammarion , 1993",1993,2080100564,,Klimt
153,"Willem De Kooning, Jean Dubuffet, the Late Works. September 17 - October 16, 1993",,1993,OCLC:741479429,,De Kooning
30,Willem de Kooning : from the Hirshhorn museum collection. ,"New York : Rizzoli international ; Washington : Hirshhorn museum and sculpture garden, Smithsonian institution , 1993",1993,0847817695,,De Kooning
29,"Gustav Klimt, 1862-1918. ","Köln ; [Paris] : B. Taschen , cop. 1993",1993,3822896713,,Klimt
92,Die weibliche und die männliche Linie : das imaginäre Geschlecht der modernen Kunst von Klimt bis Mondrian. ,"Berlin : D. Reimer Verl. , cop. 1993",1993,3496011084,,Klimt
92,Willem De Kooning. ,,1994,0933793316,Klaus Kertess,De Kooning
286,The Life and Works of Klimt. ,,1994,UCSC:32106015859637,Nathaniel Harris,Klimt
284,Gustav Klimt. ,,1994,0517100967,Andrea Venturini,Klimt
187,Da Klimt a Wols. ,,1994,UVA:X002576676,Fondazione Antonio Mazzotta,Klimt
111,Willem De Kooning. ,,1994,2840680297,Edwin Denby,De Kooning
90,Gustav Klimt : painter of women. ,"Munich ; New York : Prestel , cop. 1994",1994,3791314289,,Klimt
45,Willem De Kooning. ,"Paris : l'Échoppe , 1994",1994,2840680297,,De Kooning
62,Willem de Kooning. ,Rizzoli International Publications,1994,STANFORD:36105016413267,David Cateforis,De Kooning
283,Klimt. ,Taschen,1994,3822893641,Benedikt Taschen Verlag,Klimt
66,Willem de Kooning. Paintings,Yale University Press,1994,0300060114,"Marla Prather, David Sylvester, Richard Shiff, National Gallery of Art (U.S.), Metropolitan Museum of Art (New York, N.Y.), Tate Gallery",De Kooning
57,"Il disegno del nostro secolo : prima parte, da Klimt à Wols, [mostra, Milano, Fondazione Antonio Mazzotta, 11 aprile-10 luglio 1994]. ","Milano : Mazzotta , 1994-",1994,8820210908,,Klimt
73,Gustav Klimt : monographie illustrée. ,"Paris : PML éd. , 1994",1994,2876288621,,Klimt
146,Wilhelm De Kooning. ,Rizzoli International Publications,1994,084785759X,Cateforis,De Kooning
23,"Willem De Kooning : paintings, [exhibition, National gallery of art, Washington, 8 May-5 September 1994, the Metropolitan museum of art, New York, 11 October 1994-8 January 1995, Tate gallery, London, 15 February-7 May 1995]. ","Washington : National gallery of art ; New Haven ; London : Yale university press , 1994",1994,0894682040,,De Kooning
214,Gustav Klimt. Painter of Women,Prestel Publishing,1994,UOM:39015034025307,Susanna Partsch,Klimt
216,Gustav Klimt. From Drawing to Painting,,1994,UOM:39015034027758,Christian M. Nebehay,Klimt
228,Klimt. ,,1994,1858911664,"Françoise Ducros, Gustav Klimt",Klimt
142,Willem de Kooning. Liquefying Cubism,,1994,1932608036,Allan Stone,De Kooning
270,Klimt. ,Three Rivers Press,1995,0517883732,"Ilona Sarmany-Parsons, Ilona Sármány-Parsons",Klimt
