title,Subtitle,publisher,date,isbn,Authors
Willem De Kooning,"Vellums : March 21-April 21, 2001",N/A,2001,UOM:39015055199601,"Willem De Kooning, Brenda Richardson"
Willem de Kooning,"Recent Paintings, 1983-1986",Anthony D'Offay Gallery,1986,094756408X,Willem De Kooning
De Kooning,N/A,N/A,1969,OCLC:950182543,N/A
De Kooning,Sculptures 1972-1974,N/A,2015,0988930099,N/A
Willem De Kooning,N/A,N/A,1994,2840680297,Edwin Denby
Willem de Kooning,N/A,N/A,1978,OCLC:1005883038,Harold Resenberg
Willem de Kooning,"Pittsburgh International Series, October 26, 1979-January 6, 1980, Museum of Art, Carnegie Institute",N/A,1979,UOM:39015020382548,"Willem De Kooning, Carnegie Institute. Museum of Art"
"Willem De Kooning, Jean Dubuffet, the Late Works","September 17 - October 16, 1993",Australian Geographic,1993,STANFORD:36105009567517,"Willem De Kooning, Peter Schjeldahl, Pace Gallery"
De Kooning,"Drawings, Sculptures : an Exhibition Organized by Walker Art Center [held At] Walker Art Center, Minneapolis, March 10-April 21, 1974 ... [et Al.]",Dutton Adult,1974,UOM:39015006749876,"Willem De Kooning, Philip Larson, Peter Schjeldahl"
"De Kooning, 1935-1953",N/A,N/A,1953,OCLC:80699819,Willem De Kooning
Willem de Kooning,Drawing Seeing/seeing Drawing,N/A,1998,UOM:39015047491660,"Willem De Kooning, Klaus Kertess, Drawing Center (New York, N.Y.)"
Willem de Kooning,A Way of Living,Phaidon Press,2017,0714873160,Judith Zilczer
Willem de Kooning,Ten Works 1936-1974,N/A,2005,UCSD:31822034288597,Willem De Kooning
Willem de Kooning 1981 - 1986,N/A,N/A,2007,0979094216,N/A
Willem de Kooning,Paintings 1975-1978,N/A,2006,0974424978,"Willem De Kooning, L & M Arts"
Willem De Kooning (1904-1997).,N/A,N/A,1997,0908298625,N/A
"De Kooning. L'uomo, l'artista",N/A,Johan & Levi Editore,2006,8860100224,"Mark Stevens, Annalyn Swan"
"Willem De Kooning, Jean Dubuffet","The Women : November 30, 1990-January 5, 1991",Australian Geographic,1990,UOM:39015021859486,"Willem De Kooning, Jean Dubuffet, Mildred Glimcher, Pace Gallery"
Willem de Kooning,N/A,N/A,1973*,OCLC:935599869,N/A
Willem de Kooning,Transcending Landscape : Paintings 1975-1979,N/A,1993,STANFORD:36105012423104,Willem De Kooning
Willem de Kooning,"Selected Paintings and Sculpture, 1964-1973",N/A,2000,OCLC:46452963,"Willem De Kooning, Robert Pincus-Witten"
Willem De Kooning,Untitled XXI.,N/A,2022,OCLC:1317842581,N/A
Willem de Kooning,"Abstract Landscapes, 1955-1963",N/A,1987,OCLC:23006550,"Willem De Kooning, Henry Geldzahler"
"De Kooning, Lithographs",N/A,N/A,1985,OCLC:173516539,Willem De Kooning
Get to Know Willem de Kooning,N/A,N/A,2016,0766072428,Charlotte Taylor
De Kooning's Bicycle,Artists and Writers in the Hamptons,"Farrar, Straus and Giroux",2005,9781429921695,Robert Long
Between Sense and De Kooning,N/A,N/A,2011,1861898533,"Richard Shiff, Willem De Kooning"
Willem de Kooning,,N/A,1984,OCLC:501278385,"Robert Rosenblum, Whitney Museum of American Art. New York, NY., Yves Michaud, Centre Georges Pompidou (Paris), Deutsche Akademie der Künste. Berlin, Ost, Centre National d'Art et de Culture Georges Pompidou. Paris"
Willem de Kooning Drawings,N/A,N/A,2021,1944929290,Peter Schjeldahl
Better than de Kooning,N/A,Snoeck,2015,3864421373,"Andreas Baur, Marcus Weber"
De Kooning/Shiraga,N/A,N/A,2022,173410595X,"Pepe Karmel, Fergus McCaffrey"
Willem de Kooning: Vellums,N/A,N/A,2001,OCLC:316861140,"Willem De Kooning, Brenda Richardson, Mitchell-Innes & Nash, Matthew Marks Gallery"
Willem de Kooning,"Drawings, Paintings, Sculpture, [mostra Itinerante], New York, Whitney Museum of American Art, 7 Decembe 1983-19 February 1984",N/A,1983,0393018407,"Paul Cummings, Willem De Kooning"
The Collected Writings of Willem de Kooning,N/A,N/A,1988,0937815136,Willem De Kooning
Willem de Kooning Drawings,1920s-1970s,N/A,2007,1932608176,"Willem De Kooning, Allan Stone Gallery"
Willem De Kooning. Jean Dubuffet. The Late Works,N/A,N/A,1993,OCLC:1419335561,N/A
Willem de Kooning,Liquefying Cubism,N/A,1994,1932608036,Allan Stone
THE DE KOONING AFFAIR.,N/A,N/A,N/A,OCLC:263511675,Willem De Kooning
Willem de Kooning,The Great American Artist,N/A,2011,1258170477,Thomas B. Hess
De Kooning,N/A,N/A,1960,UOM:39015027877201,"Harriet Grossman Janis, Rudi Blesh"
Wilhelm De Kooning,N/A,Rizzoli International Publications,1994,084785759X,Cateforis
"Willem de Kooning, Works from 1951-1981",N/A,N/A,1981,STANFORD:36105031900587,"Judith Lynn Wolfe, Guild Hall of East Hampton"
De Kooning; Drawings,N/A,N/A,1968,UOM:39015007566907,Willem De Kooning
Druckgraphische Werk Von Willem de Kooning,,N/A,1991,UOM:39015032446455,"F. Lanier Graham, Willem De Kooning"
Chaïm Soutine/Willem de Kooning,La peinture incarnée,N/A,2021,2354333331,N/A
The American Critics of Pollock and De Kooning,N/A,N/A,1962,UFL:31262046285739,Charles Frank Thompson
"De Kooning, January 1968-March 1969","Exhibition M. Knoedler & Co., Inc., March 4-March 22, 1969",N/A,1969,UCAL:B4116838,"M. Knoedler & Co, Thomas B. Hess"
"Willem De Kooning, Jean Dubuffet, the Late Works","September 17 - October 16, 1993",N/A,1993,OCLC:741479429,N/A
"Willem de Kooning. - New York: Braziller 1959. 32 S., 40 Bl. Abb., S. 113-128. 4°",N/A,N/A,1959,UVA:X001533734,Thomas B. Hess
"Six Painters: Mondrian, Guston, Kline, De Kooning, Pollock [and] Rothko",N/A,N/A,1968,UOM:39015010991100,"University of St. Thomas (Houston, Tex.). Art Department"
Willem de Kooning,N/A,N/A,1959,UOM:39015015683421,Thomas B. Hess
De Kooning,,N/A,1963,UCSC:32106016797521,Morton Feldman
De Kooning,"Drawings, Sculptures",N/A,1974,OCLC:1087464322,"Philip Larson, Peter Schjeldahl"
Willem de Kooning,"Printer's Proofs from the Collection of Irwin Hollander, Master Printer",N/A,1991,STANFORD:36105028780083,"Willem De Kooning, F. Lanier Graham"
"Drawings by Five Abstract Expressionist Painters : Willem de Kooning, Arshile Gorky, Philip Guston, Franz Kline, Jackson Pollock [Exhibition] January 10-February 29, 1976",N/A,N/A,1976,UOM:39015041096390,"Museum of Contemporary Art (Chicago, Ill.)"
Willem De Kooning,The Printer's Proofs,Salander Oreilly Pub,1991,1588210332,N/A
Willem de Kooning's Women,A Psychoanalytic Exploration,N/A,2022,1956864199,Graeme J. Taylor
In Honor of De Kooning,"Bacon, Balthus, Baselitz, Berlant, Chamberlain, Crozier, De Kooning, Dubuffet, Freud, Hague, Heizer, Johns, Lichtenstein, Marden, Mitchell, Morley, Murphy, Rockburne, Segal",N/A,1984,OCLC:14821230,N/A
Willem De Kooning's Paintbrush,N/A,HarperAvenue,2016,1443435775,Kerry Lee Powell
A few remarkable paintings by Picasso and de Kooning,N/A,N/A,1990,OCLC:47715266,Pablo Picasso
De Kooning,,N/A,1984,2858502552,"Claire Stoullig, Catherine Bompuis, Akademie der Künste (Berlin, Germany)"
"Willem De Kooning, Jean Dubuffet. The Women",N/A,N/A,1990,OCLC:1419315490,Mildred Glimcher
The House for de Kooning's Friend,N/A,N/A,2006,1599160560,Roger Connah
A House for de Kooning's Friend,N/A,N/A,2009,OCLC:747408553,Roger Connah
"De Kooning [for] Horn, Percussion, Piano, Violin, Violoncello : [1963].",N/A,N/A,1963,OCLC:1423041809,Morton Feldman
Williem de Kooning Standing Figure,A Bicentennial Gift to the Nation from National Australia Bank,N/A,1987,0909873496,N/A
De Kooning/Chamberlain,"Influence and Transformation : September 21-October 20, 2001",N/A,2001,UCSD:31822030290308,"Bernice Rose, Willem De Kooning, PaceWildenstein (Firm)"
Willem De Kooning,"die späten Gemälde, die 80er Jahre",N/A,1996,9069181681,N/A
Écrits et propos de Willem De Kooning,Les Fiches de lecture d'Universalis,Encyclopaedia Universalis,2015,9782852296558,"Encyclopaedia Universalis,"
"Piet Mondrian, Hans Hofmann, Willem de Kooning",europäische Künstler in den USA - amerikanische Künstler aus Europa,N/A,2003,3793093239,Tobias Lander
